,iid_0,gender_0,pid_0,stdzed_scored_decision_0,iid_1,gender_1,pid_1,stdzed_scored_decision_1
0,194,0,214.0,0.7007833931924241,214,1,194.0,-1.7693226975985747
1,194,0,215.0,1.605020029569745,215,1,194.0,-1.758305936858542
2,194,0,216.0,-1.5598081977508784,216,1,194.0,-2.3409940388760013
3,194,0,217.0,-0.2034532431848969,217,1,194.0,-0.4206835683498735
4,194,0,218.0,-0.2034532431848969,218,1,194.0,-1.133980424085859
5,194,0,219.0,-0.2034532431848969,219,1,194.0,-1.3522528237414144
6,194,0,220.0,0.24866507500376359,220,1,194.0,-2.705386634175051
7,194,0,221.0,1.605020029569745,221,1,194.0,-0.21855288405438994
8,194,0,222.0,-1.5598081977508784,222,1,194.0,-1.1413317278395918
9,194,0,223.0,-0.6555715613735574,223,1,194.0,-0.06909319320116587
10,194,0,224.0,0.7007833931924241,224,1,194.0,0.461566331377051
11,194,0,225.0,0.24866507500376359,225,1,194.0,-1.3123208923514862
12,194,0,226.0,0.7007833931924241,226,1,194.0,-1.5191686824931925
13,194,0,227.0,0.7007833931924241,227,1,194.0,-0.5592908331808937
14,194,0,228.0,-0.6555715613735574,228,1,194.0,-0.6547039031017367
15,194,0,229.0,0.7007833931924241,229,1,194.0,0.17606323762159407
16,194,0,230.0,-1.5598081977508784,230,1,194.0,-2.0997557855556344
17,194,0,231.0,0.7007833931924241,231,1,194.0,-1.284293365559013
18,194,0,232.0,-1.5598081977508784,232,1,194.0,-1.0112035346330512
19,194,0,233.0,0.24866507500376359,233,1,194.0,-1.0419761445034554
20,195,0,214.0,1.596871942267131,214,1,195.0,-0.4941351677978003
21,195,0,215.0,1.9099840878097056,215,1,195.0,1.4611274686570985
22,195,0,216.0,-0.9080252220734668,216,1,195.0,0.02364640443309126
23,195,0,217.0,-0.5949130765308921,217,1,195.0,0.588956995689823
24,195,0,218.0,-0.2818009309883174,218,1,195.0,1.133980424085859
25,195,0,219.0,0.9706476511819815,219,1,195.0,0.7281361358607615
26,195,0,220.0,0.9706476511819815,220,1,195.0,0.3573152158344407
27,195,0,221.0,-0.2818009309883174,221,1,195.0,0.3642548067573166
28,195,0,222.0,-1.5342495131586162,222,1,195.0,-1.1413317278395918
29,195,0,223.0,0.34442336009683205,223,1,195.0,-0.7600251252128271
30,195,0,224.0,0.34442336009683205,224,1,195.0,0.461566331377051
31,195,0,225.0,0.6575355056394068,225,1,195.0,0.09877684135978917
32,195,0,226.0,0.03131121455425736,226,1,195.0,-0.2398687393410304
33,195,0,227.0,-0.2818009309883174,227,1,195.0,0.49597488980192445
34,195,0,228.0,-0.9080252220734668,228,1,195.0,0.46764564507266904
35,195,0,229.0,0.03131121455425736,229,1,195.0,1.696609380717178
36,195,0,230.0,-1.5342495131586162,230,1,195.0,0.4524335670534238
37,195,0,231.0,0.9706476511819815,231,1,195.0,1.4677638463531582
38,195,0,232.0,-1.5342495131586162,232,1,195.0,0.4758604868861416
39,195,0,233.0,0.03131121455425736,233,1,195.0,-1.0419761445034554
40,196,0,214.0,1.238009154516503,214,1,196.0,-0.812932050247994
41,196,0,215.0,1.238009154516503,215,1,196.0,-1.2630084898561358
42,196,0,216.0,1.463101728064958,216,1,196.0,-1.3951378615523642
43,196,0,217.0,2.1383794487103236,217,1,196.0,0.2524101410099241
44,196,0,218.0,-0.7878240074195929,218,1,196.0,-1.781969237849207
45,196,0,219.0,1.6881943016134133,219,1,196.0,0.7281361358607615
46,196,0,220.0,-0.7878240074195929,220,1,196.0,0.3573152158344407
47,196,0,221.0,-0.33763886032268264,221,1,196.0,-0.8013605748660965
48,196,0,222.0,-0.7878240074195929,222,1,196.0,0.07285096135146349
49,196,0,223.0,-0.33763886032268264,223,1,196.0,-2.48735495524198
50,196,0,224.0,-1.238009154516503,224,1,196.0,-0.8571946154145229
51,196,0,225.0,-0.7878240074195929,225,1,196.0,-0.747881798866976
52,196,0,226.0,-0.33763886032268264,226,1,196.0,-0.2398687393410304
53,196,0,227.0,-0.33763886032268264,227,1,196.0,-0.9813971223740209
54,196,0,228.0,-1.238009154516503,228,1,196.0,0.46764564507266904
55,196,0,229.0,-0.33763886032268264,229,1,196.0,-1.040373676854873
56,196,0,230.0,-0.33763886032268264,230,1,196.0,0.9164679948005252
57,196,0,231.0,0.11254628677422755,231,1,196.0,-0.6727250962451972
58,196,0,232.0,-0.33763886032268264,232,1,196.0,-1.6060291432407283
59,196,0,233.0,0.11254628677422755,233,1,196.0,-1.0419761445034554
60,197,0,214.0,-0.579408565447807,214,1,197.0,0.4622554795527805
61,197,0,215.0,-0.579408565447807,215,1,197.0,0.9658300216546923
62,197,0,216.0,-0.579408565447807,216,1,197.0,-1.3951378615523642
63,197,0,217.0,1.1464892890775757,217,1,197.0,0.588956995689823
64,197,0,218.0,-0.579408565447807,218,1,197.0,-1.781969237849207
65,197,0,219.0,-0.579408565447807,219,1,197.0,-0.1040194479801088
66,197,0,220.0,-0.579408565447807,220,1,197.0,0.3573152158344407
67,197,0,221.0,-0.579408565447807,221,1,197.0,0.3642548067573166
68,197,0,222.0,-0.579408565447807,222,1,197.0,1.0441971127043077
69,197,0,223.0,-0.08629489272626904,223,1,197.0,-0.7600251252128271
70,197,0,224.0,-0.08629489272626904,224,1,197.0,1.4506370414707315
71,197,0,225.0,-0.579408565447807,225,1,197.0,0.6632159348442993
72,197,0,226.0,0.40681877999526883,226,1,197.0,1.3592561895991722
73,197,0,227.0,-0.08629489272626904,227,1,197.0,0.9180811789950517
74,197,0,228.0,-0.08629489272626904,228,1,197.0,-0.6547039031017367
75,197,0,229.0,-0.579408565447807,229,1,197.0,-1.040373676854873
76,197,0,230.0,-0.579408565447807,230,1,197.0,-0.011600860693677701
77,197,0,231.0,2.625830307242189,231,1,197.0,1.4677638463531582
78,197,0,232.0,2.625830307242189,232,1,197.0,1.6655117041014957
79,197,0,233.0,-0.08629489272626904,233,1,197.0,-1.0419761445034554
80,198,0,214.0,-0.2955610289586241,214,1,198.0,-2.406916462498962
81,198,0,215.0,1.182244115834495,215,1,198.0,-1.2630084898561358
82,198,0,216.0,0.44334154343793547,216,1,198.0,0.02364640443309126
83,198,0,217.0,-0.2955610289586241,217,1,198.0,-1.7668709870694688
84,198,0,218.0,-0.2955610289586241,218,1,198.0,-1.133980424085859
85,198,0,219.0,-0.2955610289586241,219,1,198.0,-2.1844084075822847
86,198,0,220.0,-1.7733661737517432,220,1,198.0,-0.6635854008353899
87,198,0,221.0,-1.0344636013551836,221,1,198.0,-2.2583798018953627
88,198,0,222.0,-1.7733661737517432,222,1,198.0,-1.1413317278395918
89,198,0,223.0,-0.2955610289586241,223,1,198.0,-1.7964230232303187
90,198,0,224.0,-0.2955610289586241,224,1,198.0,-0.8571946154145229
91,198,0,225.0,0.44334154343793547,225,1,198.0,-1.3123208923514862
92,198,0,226.0,1.182244115834495,226,1,198.0,-1.5191686824931925
93,198,0,227.0,1.182244115834495,227,1,198.0,-1.403503411567148
94,198,0,228.0,1.182244115834495,228,1,198.0,-0.2805873870436014
